UR	at.ka.ʔi.tsa.tɡeo	Stress	Ident(high)	Ident(spread_gl)	Ident(long)	Ident(low)	Ident(front)	Ident(back)	Nocoda	Onset	Agree(LABIAL)	*Complex Coda	Align-R	Dep	Align-L	Max	Ident(voice)	*[+consonantal, -voice]	*[+consonantal, +CORONAL]	Agree(front)	*CC	*Complex Onset
	at.ka.ʔi.tsa.tɡeɞ	na	0	0	0	0	0	1!	1	1	0	0	1	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡ+͡ɣ+eo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡəo	na	0	0	0	0	1!	0	0	0	0	0	0	1	1	1	1	5	3	0	2	2
	at.ka.ʔi.tsa.tɡəo	na	0	0	0	0	1!	0	1	1	0	0	0	0	0	0	0	6	4	0	3	2
	at.ka.ʔi.tsa.ʈɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tχa.tɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	ka.ka.ʔi.tsa.nɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡ̠̠͡ɣ̠ʰeo	na	0	1!	0	0	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔɘ.tsa.tɡeo	na	1!	0	0	0	1	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.kɘː.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	ka.ka.ʔɰ.tsa.dɡeo	na	0	0	0	0	1!	1	1	0	0	1	0	1	1	1	1	5	3	1	4	3
	xa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɢeo	na	1!	0	0	0	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.ʔsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	2	1	2	2
	ka.ka.ʔi.tsa.dɡ̠ʰeo	na	0	1!	0	0	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔʰi.tsa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tse.tɡeo	na	0	0	0	1!	1	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɣ+eo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	kæ.ka.ʔi.tsa.dɡeo	na	2!	0	0	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	ka.ka.ʔi.tsa.ədɡeo	na	1!	0	0	1	1	1	0	1	0	0	0	2	1	1	1	5	3	1	2	1
	ka.ka.ʔi.tsa.ɖʰɡeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔiʔ.tsa.tɡeo	na	0	0	0	0	0	0	2!	1	0	0	0	1	0	0	0	7	4	1	4	2
	ka.ka.ʔi.tsa.dɡeɞ	na	0	0	0	0	0	1!	0	0	0	0	1	1	1	1	1	5	3	1	2	2
	ke.ka.ʔi.tsa.dɡeo	na	2!	0	0	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	ka.kæ.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	at.ka.ʔi.tsa.tbeo	na	1!	0	0	1	0	0	1	1	1	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tse.dɡeo	na	0	0	0	1!	1	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.t͡ɬsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔɪː.tsa.tɡeo	na	0	0	1!	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔiː.tsa.tɡeo	na	0	0	1!	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tk+eo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	1	7	4	1	3	2
	ka.ka.ʔi.t͡ssa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	aʈʰ.ka.ʔi.tsa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	kɑː.ka.ʔi.tsa.dɡeo	na	2!	0	1	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	at.ka.ʔi.tt͡sʰa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tʰɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɣeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.k̠ʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	6!	3	1	2	2
	ka.ka.ʔi.tsa.dɖeo	na	1!	0	0	1	0	0	0	0	0	0	0	1	1	1	1	5	4	1	2	2
	at.ka.ʔi.dsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	1	5	4	1	3	2
	ka.ka.ʔɛ.tsa.dɡeo	na	1!	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at̪͡θ.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔy.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	əːt.ka.ʔi.tsa.tɡeo	na	0	0	1!	1	0	0	1	1	0	0	0	0	1	0	0	6	4	1	3	2
	ka.a.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	1!	0	0	0	1	1	2	1	4	3	1	2	2
	ka.ka.əʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	1!	0	0	0	3	1	2	1	5	3	1	2	2
	at.ka.ʔi.tsʰa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	kæː.ka.ʔi.tsa.dɡeo	na	2!	0	1	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	ka.ka.ʔi.tɸa.dɡeo	na	0	0	0	0	0	0	0	0	1!	0	0	1	1	1	1	5	2	1	2	2
	at.ka.ʔi.tsa.tk+͡x+eo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	1	7	4	1	3	2
	k͡pa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ti.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	5	1	3	2
	ka.ka.ʔi.ʈʰsa.dɡeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.b͡dɡeo	na	0	0	0	0	0	0	0	0	1!	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡɨo	na	1!	0	0	0	1	0	0	0	0	0	0	1	1	1	1	5	3	0	2	2
	ka.ka.ʔi.td͡za.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2!	4	3	1	2	2
	kʌ.ka.ʔi.tsa.dɡeo	na	2!	0	0	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡeoʔ	na	0	0	0	0	0	0	1!	0	0	0	1	2	1	1	1	6	3	1	2	2
	ka.ka.ʔi.tsa.dɡeɵː	na	0	0	1!	0	0	1	0	0	0	0	1	1	1	1	1	5	3	1	2	2
	ʌt.ka.ʔi.tsa.tɡeo	na	0	0	0	1!	0	1	1	1	0	0	0	0	1	0	0	6	4	1	3	2
	ɡ+͡ɣ+a.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	3	1	2	2
	at.ka.ki.tsa.tɡeo	na	1!	0	0	1	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsʰa.dɡeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tʂa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	a.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	1!	0	0	0	0	0	1	1	4	3	1	2	2
	k+͡x+ʰa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	k͡xʰa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	aq.ka.ʔi.tsa.tɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	ɘt.ka.ʔi.tsa.tɡeo	na	0	0	0	1!	0	0	1	1	0	0	0	0	1	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɡio	na	1!	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsəː.dɡeo	na	0	0	1!	1	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsʔa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	7	4	1	4	2
	ka.ka.ʔi.tsa.dɡɘːo	na	0	0	1!	0	1	0	0	0	0	0	0	1	1	1	1	5	3	0	2	2
	ka.kʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡɘo	na	0	0	0	0	1!	0	0	0	0	0	0	1	1	1	1	5	3	0	2	2
	at.ka.ʔi.tsa.tceo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	1	7	5	1	3	2
	at.k̠ʰa.ʔi.tsa.tɡeo	na	0	1!	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɡɘːo	na	0	0	1!	0	1	0	1	1	0	0	0	0	0	0	0	6	4	0	3	2
	ap.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	6	3	1	3	2
	ka.ka.ʔi.tsa.dɡeəo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	1	5	3	1	2	2
	qa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.ɡ̠ɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	2	1	2	2
	ka.ka.i.tsa.dɡeo	na	1!	0	0	1	0	0	0	1	0	0	0	1	1	2	1	4	3	2	2	2
	ka.ka.ʔi.p͡tsa.dɡeo	na	0	0	0	0	0	0	0	0	1!	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.k̠sa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	2	1	2	2
	ka.k+ʰa.ʔi.tsa.dɡeo	na	1!	1	0	1	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tg͡beo	na	0	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tt͡sa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tʔsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	7	4	1	4	2
	ka.ka.ʔi.tsa.dk͡peo	na	0	0	0	0	0	0	0	0	1!	0	0	1	1	1	2	6	3	1	2	2
	ɢa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	3	1	2	2
	at.ka.ʔi.ʈʰsa.tɡeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɉʰeo	na	0	1!	0	0	1	1	1	1	0	0	0	0	0	0	0	6	5	1	3	2
	ka.ka.ʔi.tsa.dɡeːo	na	0	0	1!	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dk+ʰeo	na	0	1!	0	0	1	1	0	0	0	0	0	1	1	1	2	6	3	1	2	2
	at.ka.ʔi.tsa.teo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	1	0	6	4	1	2	1
	ka.ka.ʔi.tsa.dɡeɒ	na	0	0	0	1!	0	0	0	0	0	0	1	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡiːo	na	1!	0	1	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ke.ʔi.tsa.tɡeo	na	0	0	0	1!	1	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɡ͡ɣeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ɉa.ʔi.tsa.tɡeo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	1	5	5	1	3	2
	ka.ka.ʔi.tsa.d̪͡ðɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tʔsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	1	6	3	1	3	2
	ka.ka.ʔiː.tsa.dɡeo	na	0	0	1!	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.kʔa.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	1	6	3	1	3	3
	ka.ka.ʔi.dsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2!	4	3	1	2	2
	ka.ka.ʔi.tsa.ɖɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.k.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	2!	1	0	0	0	0	0	1	0	6	4	1	4	2
	ʔka.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	1	6	3	1	3	3
	at.ɡ+͡ɣ+a.ʔi.tsa.tɡeo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	1	5	4	1	3	2
	at.ka.ʔi.tsa.tɡeɒː	na	0	0	1!	1	0	0	1	1	0	0	1	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dkeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2!	6	3	1	2	2
	at.kɛ.ʔi.tsa.tɡeo	na	0	0	0	1!	1	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dceo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	2	6	4	1	2	2
	ka.ka.ʔi.tt͡sʰa.dɡeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.k͡xa.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	aɖ.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	1	5	4	1	3	2
	ka.ka.ʔi.tsa.dk̠ʰeo	na	0	1!	0	0	1	1	0	0	0	0	0	1	1	1	2	6	3	1	2	2
	at.ka.ʔi.tx̠a.tɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	ka.ka.ʔi.tsa.dg͡bʰeo	na	0	1!	0	0	0	0	0	0	1	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.p͡tsa.tɡeo	na	0	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	6	4	1	3	2
	at.kɤ.ʔi.tsa.tɡeo	na	0	0	0	1!	0	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɉ͡ʝeo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	4	1	2	2
	at.ɡ+ʰa.ʔi.tsa.tɡeo	na	0	1!	0	0	1	1	1	1	0	0	0	0	0	0	1	5	4	1	3	2
	at.ka.ʔe.tsa.tɡeo	na	1!	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡ+ʰeo	na	0	1!	0	0	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔɪ.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	kɛ.ka.ʔi.tsa.dɡeo	na	2!	0	0	2	2	2	0	0	0	0	0	0	1	0	3	5	3	1	2	2
	ka.ka.ʔi.ksa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	1	1	1	1	5	2	1	2	2
	at.kaː.ʔi.tsa.tɡeo	na	0	0	1!	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ʈa.ʔi.tsa.tɡeo	na	1!	0	0	1	0	0	1	1	0	0	0	0	0	0	0	6	5	1	3	2
	at.ka.ʔi.tsa.ʔɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	3	1	3	2
	ka.ka.ʔi.tsa.ɡ+ɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	2	1	2	2
	ɡa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	3	1	2	2
	ka.ka.ʔi.tsa.dk̠͡x̠eo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	2	6	3	1	2	2
	ka.ka.ʔi.tsa.dk+͡x+eo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	2	6	3	1	2	2
	ka.ka.ʔi.tsa.dɉʰeo	na	0	1!	0	0	1	1	0	0	0	0	0	1	1	1	1	5	4	1	2	2
	at.ka.ʔi.tsʌ.tɡeo	na	0	0	0	1!	0	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.t͡ɬsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.deo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	2!	1	5	3	1	1	1
	at.ka.ʔi.tsa.k̠ɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	at.ka.ʔi.tsa.tɡeoə	na	0	0	0	0	0	0	1!	1	0	0	1	1	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.ɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	1	0	5	3	1	2	1
	ka.ɉa.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	2	4	4	1	2	2
	ka.ka.ʔi.tzʰa.dɡeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	2	4	3	1	2	2
	at.ɡ+a.ʔi.tsa.tɡeo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	1	5	4	1	3	2
	at.ka.ʔi.ksa.tɡeo	na	1!	0	0	1	0	0	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	ka.k+͡x+a.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔæ.tsa.tɡeo	na	1!	0	0	1	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɡeɒ	na	0	0	0	1!	0	0	1	1	0	0	1	0	0	0	0	6	4	1	3	2
	at.pa.ʔi.tsa.tɡeo	na	1!	0	0	1	0	0	1	1	1	0	0	0	0	0	0	6	4	1	3	2
	at.k̠͡x̠ʰa.ʔi.tsa.tɡeo	na	0	1!	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ti.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	3!	1	3	1	5	4	1	2	2
	ka.kæː.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	ka.ka.ʔi.ɖsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2!	4	3	1	2	2
	ka.ka.ʔi.tsa.dɡ͡ɣʰeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡeɔː	na	0	0	1!	0	0	0	0	0	0	0	1	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dqeo	na	1!	0	0	0	1	1	0	0	0	0	0	1	1	1	2	6	3	1	2	2
	at.ka.ʔi.tsa.tɡəeo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	6	4	2	3	2
	at.ka.ʔi.k+sa.tɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	at.ka.ʔi.tsɘ.tɡeo	na	0	0	0	1!	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	aʈ.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡeɔ	na	0	0	0	0	0	0	0	0	0	0	1!	1	1	1	1	5	3	1	2	2
	əka.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	1!	0	0	0	2	1	1	1	5	3	1	2	2
	kaə.ka.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	0	2	5	3	1	2	2
	at.ka.ʔi.tsa.tɡɰo	na	1!	0	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	0	4	2
	at.ka.ʔi.tsa.tɡeø	na	0	0	0	0	1!	1	1	1	0	0	1	0	0	0	0	6	4	0	3	2
	ka.ɡ͡ɣa.ʔi.tsa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	1	1	1	2	4	3	1	2	2
	at.ka.ʔi.tsa.tk+ʰeo	na	0	1!	0	0	1	1	1	1	0	0	0	0	0	0	1	7	4	1	3	2
	at.ka.ʔi.tt̪͡s̪a.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɉeo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	4	1	2	2
	ta.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	4!	1	2	2
	ka.ka.ʔi.tsa.dɡɪo	na	1!	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɢ͡ʁeo	na	1!	0	0	0	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔeː.tsa.dɡeo	na	1!	0	1	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tθa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɡ+͡ɣ+eo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔæ.tsa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.q͡χa.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tt͡sa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsaə.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	2	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɡøo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsɛ.dɡeo	na	0	0	0	1!	1	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.k+i.tsa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	2	1	2	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɢeo	na	1!	0	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡe	na	0	0	0	0	0	0	0	0	0	0	1!	1	1	2	1	5	3	0	2	2
	ka.ke.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	at.g͡ba.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	1	0	0	0	0	0	1	5	4	1	3	2
	ka.kɑ.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	2	1	5	3	1	2	2
	ka.ʔka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	6!	3	1	3	3
	at.k͡pʰa.ʔi.tsa.tɡeo	na	0	1!	0	0	0	0	1	1	1	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.psa.tɡeo	na	0	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	6	3	1	3	2
	at.ka.ʔi.tʃa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ɉa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	4!	1	2	2
	ka.ka.ʔi.tsa.ɢɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	2	1	2	2
	aːt.ka.ʔi.tsa.tɡeo	na	0	0	1!	0	0	0	1	1	0	0	0	0	1	0	0	6	4	1	3	2
	ka.ka.ʔi.tsʌ.dɡeo	na	0	0	0	1!	0	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsæː.dɡeo	na	0	0	1!	0	1	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	æt.ka.ʔi.tsa.tɡeo	na	0	0	0	0	1!	0	1	1	0	0	0	0	1	0	0	6	4	1	3	2
	at.ka.ʔi.k̠sa.tɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	3	1	3	2
	at.ka.ʔi.tsə.tɡeo	na	0	0	0	1!	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.tʰɡeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	0	6	3	1	2	2
	ka.ka.ʔi.tsa.dɡio	na	1!	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.kaʔ.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	1!	0	0	0	0	3	1	2	1	6	3	1	3	2
	ka.x̠a.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.txa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	1	1	1	1	5	2	1	2	2
