			Max	Dep	Ident(voice)	Ident(high)	Onset	Agree(LABIAL)	*Complex Onset	*Complex Coda	Align-L	Align-R	Ft-Bin	Parse	Trochaic	Align-Ft-L	Align-Ft-R	Leftmost	Rightmost	Nonfinality-syl-stress	*[+consonantal, -voice]	Nocoda	Agree(voice)	*CC	Iambic	WSP	Nonfinality-syl-footing	All-Ft-Right	All-Ft-Left
	nan.ki.r.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	3	3	3	3	2	1	7	8
	nan.ki.ri.ki.rimʔ.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	5	0	4	2	2	3	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jɪ|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɢi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.ɡ+͡ɣ+i.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.ki.ʙim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.x+i.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.kj.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	5	0	3	3	3	4	3	2	1	7	8
	nan.ki.ri.ki.rim.ɸa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.kɛ.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.rɨ.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rɪm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ry.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.t͡ɕi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nen.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ci.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.ʟi|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.ɪi|(p.n).n.(s.n).(s.n)		0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.kʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kiə.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.ræm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.k.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	3	3	3	3	2	1	7	8
	nan.keː.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.k͡pi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.kɪ.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jy|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.rɰ.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	5	0	3	3	3	4	3	2	1	7	8
	nan.ki.ri.ki.rim.ʈa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.kʔi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	2	3	3	1	1	7	8
	nan.ki.ri.ki.rim.paʔ.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	4	3	3	3	3	1	1	7	8
	nan.ki.ri.ki.lim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.ɰ̠i|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.əji|(p.n).n.(s.n).(s.n)		0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ke.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ky.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.əki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	1	1	3	2	1	7	8
	nan.ki.ri.ki.rim.pʰa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.k͡pi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	naːn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.k͡pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pe.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.riːm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.k+͡x+i.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jiː|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.ki.rim.pa.jeː|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.x̠i.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.k+ʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nəːn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rɪːm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ɡ̠i.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.c͡çi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nanə.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	1	1	1	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jiə|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.k͡xi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nad.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.xi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pəa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.a.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	1	3	1	1	7	8
	nan.qi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rjm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	5	0	3	2	2	4	3	1	1	7	8
	nan.pi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	na.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	1	1	1	3	1	1	7	8
	nan.ki.ri.k̠ʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jɛ|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.k+a.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɡi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.ki.ri.kɘ.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kɛ.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kʔi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	2	3	3	1	1	7	8
	nan.ti.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ʔi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jɪː|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nanʔ.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	4	2	2	3	3	1	1	7	8
	nan.ki.ri.kɨː.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	naɳ.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rɨm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.k+ʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɡʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.riŋ˗.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.ʔa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jʔi|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	3	3	3	1	1	7	8
	nan.kɘ.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rm.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	5	0	3	2	2	3	3	1	1	7	8
	nan.ki.əri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.c͡çi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.ʔpa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	5	0	4	2	2	3	3	1	1	7	8
	nan.k̠ʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.paə.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.kæ.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	ʔnan.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	5	0	4	2	3	3	3	1	1	7	8
	nan.ki.ri.ki.rim.p͡ɸa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rin.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	naŋ.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.riəm.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.ʔrim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	3	3	3	1	1	7	8
	nɑn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.rj.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	5	0	3	3	3	4	3	2	1	7	8
	nan.ki.ræ.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kɨ.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.re.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pɨ.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.kɨ.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ɻi.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.q͡χi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rɰm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	5	0	3	2	2	4	3	1	1	7	8
	nan.ki.ri.ki.rɘm.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	naən.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.ɥi|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ke.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.q͡χi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jɘ|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kɯ.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	ŋ˗an.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.p͡tʰa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nam.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɡ+͡ɣ+i.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.ki.rʔi.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	3	3	3	1	1	7	8
	nan.ki.ri.ki.rim.k͡pʰa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.k+͡x+i.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rib͡β.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.p͡ta.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pɑ.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.riɳ.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.t͡ɕi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.ʔji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	3	3	3	1	1	7	8
	næn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ʔki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	2	3	3	1	1	7	8
	nan.ki.ri.ki.rim.pʔa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	5	0	4	2	2	3	3	1	1	7	8
	nan.ʔki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	2	3	3	1	1	7	8
	nan.ʈi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	næːn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rym.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.rɛ.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.i.rim.pa.ji|(p.n).n.(s.n).(s.n)		1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jj|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	5	0	3	3	2	3	3	2	1	7	8
	nan.x̠i.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.ii|(p.n).n.(s.n).(s.n)		1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	2	1	7	8
	nan.ki.ri.ky.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.k͡pʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.ka.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɡ̠ʰi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nən.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɡ+i.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
